EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
7500435125420;SHAMPOO PANTENE LISO EXTREMO 175 ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435125468;SHAMPOO PANTENE RESTAURAÇÃO 175ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435134415;ESCOVA DE DENTE ORAL-B PRO C/1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435154222;SHAMPOO PANTENE BAMBU 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435154420;BARBEADOR GILLETTE ULTRAGRIP C/2 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435154772;BARBEADOR GILLETTE 3 C/1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435198240;AMACIANTE DOWNY BRISA DO VERÃO 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7500435201292;AMACIANTE DOWNY BRISA INTENSO 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7500435209342;SHAMPOO PANTENE EQUILÍBRIO 175ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435243612;AMACIANTE DOWNY BRISA SUAVE 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7500435248136;SHAMPOO PANTENE ANTIQUEDA 200G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7501843503350;BARBEADOR BIC FLEX 3;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7501843503367;BARBEADOR BIC FLEX 3 AZUL;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7506195143834;AMACIANTE DOWNY BRISA DE VERAO 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7506195143872;AMACIANTE DOWNY PRIMAVERA 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7506309865393;SHAMPOO HEAD&S MASCULINO 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7506339363883;CREME DENTAL ORAL-B 70G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7509546689692;CREME DENTAL COLGATE TRIPLA AÇÃO 120G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7622202327087;CLUB SOCIAL CEBOLA 144G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622210411501;5 STAR LACTA 40G;GENÉRICO;DOCES;;;;;TRUE
7622210528216;BARRA DE CHOCOLATE LACTA OURO BRANCO 80G;GENÉRICO;DOCES;;;;;TRUE
7622210530073;BOLACHA OREO 18G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622210567567;BARRA DE CHOCOLATE LACTA OREO 90G;GENÉRICO;BISCOITOS, PÃES E DOCES;;;;;TRUE
7622210571540;TANG LIMAO 18G;GENÉRICO;SUCOS;;;;;TRUE
7622210571571;SUCO TANG LARANJA 18G;GENÉRICO;SUCOS;;;;;TRUE
7622210571595;REFRESCO TANG LARANJA 18GR;GENÉRICO;SUCOS;;;;;TRUE
7622210571601;TANG LARANJA 18G;GENÉRICO;SUCOS;;;;;TRUE
7622210571779;SUCO TANG UVA 18GR;GENÉRICO;SUCOS;;;;;TRUE
7622210571786;TANG UVA 18G;GENÉRICO;SUCOS;;;;;TRUE
7622210571847;SUCO EM PÓ TANG LARANJA MAMÃO 18G;GENÉRICO;SUCOS;;;;;TRUE
7622210571885;TANG UVA 18GR;GENÉRICO;SUCOS;;;;;TRUE
7622210575975;BIS LACTA PRETO 100G;GENÉRICO;DOCES;;;;;TRUE
7622210575999;BIS LACTA BRANCO 100G;GENÉRICO;DOCES;;;;;TRUE
7622210592750;TRAKINAS CHOCOLATE 126G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622210592781;TRAKINAS MORANGO 126G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622210596413;CAIXA DE BOMBONS LACTA 250,6G;GENÉRICO;DOCES;;;;;TRUE
7622210641151;CLUB SOCIAL PIZZA 144G;GENÉRICO;MERCEARIA;;;;;TRUE
7622210673831;BARRA DE CHOCOLATE LACTA AO LEITE 80G;GENÉRICO;DOCES;;;;;TRUE
7622210674319;BARRA DE CHOCOLATE LACTA LAKA 80G;GENÉRICO;DOCES;;;;;TRUE
7622210674357;BARRA DE CHOCOLATE LAKA OREO 80G;GENÉRICO;DOCES;;;;;TRUE
7622210674432;BARRA DE CHOCOLATE LACTA MEIO AMARGO 80G;GENÉRICO;DOCES;;;;;TRUE
7622210812636;HALLS SABOR CEREJA 28G;GENÉRICO;BALAS;;;;;TRUE
7622210833389;BIS BLACK 100G;GENÉRICO;BISCOITOS, PÃES E DOCES;;;;;TRUE
7622210857255;HALLS SABOR MENTA 28G;GENÉRICO;BALAS;;;;;TRUE
7622300119621;FERMENTO ROYAL 100G;GENÉRICO;MERCEARIA;;;;;TRUE
